Index,Clade,Clade_and_StateRegion,Type,Symb_Tol,Type_and_StateRegion,Gene,Isolate,Redundancy,Potential_Pseudogene_Ref,Species,Methodology,Genbank,Genbank_link,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Host_Sci_Name,Host_tol,AphiaID,Environment,Ocean,Host_and_Ocean,Host_and_StateRegion,Country,StateRegion,T_MMM_05,SubRegion,Locale,Latitude,Longitude,Coordinate_Precision,Min_Depth,Max_Depth,Start_Year_Collect,End_Year_Collect,Ref,Reference,Ref_link
10,A,"A, Hawaiian Islands",A1,0.566,"A1, Hawaiian Islands",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,cloning,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,0.575,207095,in hospite,Pacific,"Acropora cytherea, Pacific","Acropora cytherea, Hawaiian Islands",United States,Hawaiian Islands,29.186,French Frigate Shoals,N_A,"238,496,833","-1,662,974,333",100,15,20,2006,2006,Stat_2008_Biol_Invasions_10_579,"Stat M & Gates RD (2008) Vectored introductions of marine endosymbiotic dinoflagellates into Hawaii. Biological Invasions 10, 579-583.",http://www.springerlink.com/content/vwj30gt72407051w/
11,A,"A, Central Pacific",A1,0.566,"A1, Central Pacific",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,cloning,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,eydouxi,Pocillopora eydouxi,0.782,206958,in hospite,Pacific,"Pocillopora eydouxi, Pacific","Pocillopora eydouxi, Central Pacific",United States,Central Pacific,27.6,Johnston Atoll,JA-HIMB3,"167,429,333","-1,695,378,167",100,3,7,2006,2006,Stat_2009_MEPS_386_83,"Stat M, Pochon X, Cowie ROM, Gates RD (2009) Specificity in communities of Symbiodinium in corals from Johnston Atoll. Marine Ecology Progress Series 386, 83-96.",http://www.int-res.com/abstracts/meps/v386/p83-96/
12,A,"A, Central Pacific",A1,0.566,"A1, Central Pacific",ITS2,N_A,N_A,NO_Hunter_2007_J_Phycology_43_120,same_as_Symbiodinium microadriaticum sub. microadriaticum,cloning,same_as_AF333505,http://www.ncbi.nlm.nih.gov/nuccore/AF333505,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,meandrina,Pocillopora meandrina,0.672,206964,in hospite,Pacific,"Pocillopora meandrina, Pacific","Pocillopora meandrina, Central Pacific",United States,Central Pacific,27.6,Johnston Atoll,JA-HIMB3,"167,429,333","-1,695,378,167",100,3,7,2006,2006,Stat_2009_MEPS_386_83,"Stat M, Pochon X, Cowie ROM, Gates RD (2009) Specificity in communities of Symbiodinium in corals from Johnston Atoll. Marine Ecology Progress Series 386, 83-96.",http://www.int-res.com/abstracts/meps/v386/p83-96/
13,A,"A, N_A",A1.1,0.522,"A1.1, N_A",ITS2,N_A,A13,N_A,Symbiodinium cariborum (S. microadriaticum sub. condylactis),DGGE,AF333504,http://www.ncbi.nlm.nih.gov/nuccore/AF333504,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Condylactis,gigantea ,Condylactis gigantea,0.711,283419,culture,Caribbean,"Condylactis gigantea, Caribbean","Condylactis gigantea, N_A",Jamaica,N_A,29.186,N_A,N_A,"1,813,265","-772,958,889",125000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,"LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.",http://www3.interscience.wiley.com/journal/118994400/abstract
14,A,"A, N_A",A1.1,0.522,"A1.1, N_A",ITS2,N_A,A13,N_A,same_as_Symbiodinium cariborum (S. microadriaticum sub. condylactis),DGGE,same_as_AF333504,http://www.ncbi.nlm.nih.gov/nuccore/AF333504,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,frondosa,Cassiopea frondosa,0.711,287166,culture,Caribbean,"Cassiopea frondosa, Caribbean","Cassiopea frondosa, N_A",Jamaica,N_A,29.186,N_A,N_A,"1,813,265","-772,958,889",125000,N_A,N_A,N_A,N_A,LaJeunesse_2001_J_Phycology_37_866,"LaJeunesse T (2001) Investigating the biodiversity, ecology, and phylogeny of endosymbiotic dinoflagellates in the genus Symbiodinium using the ITS region: in search of a ""species"" level marker. Journal of Phycology 37, 866-880.",http://www3.interscience.wiley.com/journal/118994400/abstract
15,A,"A, Central Pacific",A1.2,0.522,"A1.2, Central Pacific",ITS2,N_A,N_A,NO_Stat_2009_MEPS_386_83,N_A,cloning,AB207210,http://www.ncbi.nlm.nih.gov/nuccore/AB207210,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,eydouxi,Pocillopora eydouxi,0.782,206958,in hospite,Pacific,"Pocillopora eydouxi, Pacific","Pocillopora eydouxi, Central Pacific",United States,Central Pacific,27.6,Johnston Atoll,JA-HIMB3,"167,429,333","-1,695,378,167",100,3,7,2006,2006,Stat_2009_MEPS_386_83,"Stat M, Pochon X, Cowie ROM, Gates RD (2009) Specificity in communities of Symbiodinium in corals from Johnston Atoll. Marine Ecology Progress Series 386, 83-96.",http://www.int-res.com/abstracts/meps/v386/p83-96/
16,A,"A, Gulf of Aqaba",A10,0.522,"A10, Gulf of Aqaba",ITS2,N_A,N_A,N_A,N_A,DGGE,EU792882,http://www.ncbi.nlm.nih.gov/nuccore/EU792882,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Lithophyton,arboreum,Lithophyton arboreum,0.711,N_A,in hospite,Red Sea,"Lithophyton arboreum, Red Sea","Lithophyton arboreum, Gulf of Aqaba",Israel,Gulf of Aqaba,29.186,N_A,N_A,"24,400,405","36,307,343",400000,7,7,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
17,A,"A, Baja California",A12,0.522,"A12, Baja California",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792883,http://www.ncbi.nlm.nih.gov/nuccore/EU792883,Cnidaria,Anthozoa,Zoanthidea,Zoanthidae,Zoanthus,pacificus,Zoanthus pacificus,0.711,288837,in hospite,Pacific,"Zoanthus pacificus, Pacific","Zoanthus pacificus, Baja California",Mexico,Baja California,29.186,La Paz,N_A,"24,090,809","-110,173,139",50000,0,0.5,2004,2006,LaJeunesse_2008_Limnol_Oceanograph_53_719,"LaJeunesse TC, Reyes Bonilla H, Warner ME, Wills M, Schmidt GW,  Fitt WK (2008) Specificity and stability in high latitude eastern Pacific coral-algal symbioses. Limnology and Oceanography 53, 719-727.",http://www.aslo.org/lo/toc/vol_53/issue_2/index.html
18,A,"A, N_A",A13,0.522,"A13, N_A",ITS2,N_A,same_as_A1.1,N_A,same_as_Symbiodinium cariborum (S. microadriaticum sub. condylactis),DGGE,same_as_AF333504,http://www.ncbi.nlm.nih.gov/nuccore/AF333504,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastraea,annularis,Montastraea annularis,0.811,207479,in hospite,Caribbean,"Montastraea annularis, Caribbean","Montastraea annularis, N_A",Barbados,N_A,29.186,N_A,N_A,"13,065,258","-5,939,125",3000,0,5,2005,2007,LaJeunesse_2009_Proc_Royal_Soc_B_276_4139,"LaJeunesse TC, Smith RT, Finney J, Oxenford H (2009) Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral ""bleaching"" event. Proceedings of the Royal Society of London B 276, 4139-4148.",http://rspb.royalsocietypublishing.org/content/276/1676/4139.full
19,A,"A, N_A",A13,0.522,"A13, N_A",ITS2,N_A,same_as_A1.1,N_A,same_as_Symbiodinium cariborum (S. microadriaticum sub. condylactis),DGGE,same_as_AF333504,http://www.ncbi.nlm.nih.gov/nuccore/AF333504,Cnidaria,Anthozoa,Scleractinia,Faviidae,Montastraea,annularis,Montastraea annularis,0.811,207479,in hospite,Caribbean,"Montastraea annularis, Caribbean","Montastraea annularis, N_A",Barbados,N_A,29.186,N_A,N_A,"13,065,258","-5,939,125",3000,15,15,2005,2007,LaJeunesse_2009_Proc_Royal_Soc_B_276_4139,"LaJeunesse TC, Smith RT, Finney J, Oxenford H (2009) Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral ""bleaching"" event. Proceedings of the Royal Society of London B 276, 4139-4148.",http://rspb.royalsocietypublishing.org/content/276/1676/4139.full
20,A,"A, Western Indian",A15,0.522,"A15, Western Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792884,http://www.ncbi.nlm.nih.gov/nuccore/EU792884,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Western Indian",Tanzania,Western Indian,28.97,Zanzibar,Changuu,"-6,070,491","39,100,244",1000,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,"LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract
21,A,"A, Western Indian",A15,0.522,"A15, Western Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792884,http://www.ncbi.nlm.nih.gov/nuccore/EU792884,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Western Indian",Tanzania,Western Indian,28.97,Zanzibar,Banda Kuu,"-5,425,601","39,175,998",2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,"LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract
22,A,"A, Eastern Indian",A15a,0.522,"A15a, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,EU792885,http://www.ncbi.nlm.nih.gov/nuccore/EU792885,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
23,A,"A, Eastern Indian",A15a,0.522,"A15a, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792885,http://www.ncbi.nlm.nih.gov/nuccore/EU792885,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
24,A,"A, Eastern Indian",A15a,0.522,"A15a, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792885,http://www.ncbi.nlm.nih.gov/nuccore/EU792885,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
25,A,"A, Western Indian",A15a,0.522,"A15a, Western Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792885,http://www.ncbi.nlm.nih.gov/nuccore/EU792885,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Western Indian",Tanzania,Western Indian,28.97,Zanzibar,Changuu,"-6,070,491","39,100,244",1000,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,"LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract
26,A,"A, Eastern Indian",A15b,0.522,"A15b, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,EU792886,http://www.ncbi.nlm.nih.gov/nuccore/EU792886,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
27,A,"A, Eastern Indian",A15b,0.522,"A15b, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792886,http://www.ncbi.nlm.nih.gov/nuccore/EU792886,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
28,A,"A, Eastern Indian",A15b,0.522,"A15b, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792886,http://www.ncbi.nlm.nih.gov/nuccore/EU792886,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
29,A,"A, Western Indian",A15b,0.522,"A15b, Western Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,same_as_EU792886,http://www.ncbi.nlm.nih.gov/nuccore/EU792886,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Western Indian",Tanzania,Western Indian,28.97,Zanzibar,Changuu,"-6,070,491","39,100,244",1000,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,"LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.",http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract
30,A,"A, Eastern Indian",A15c,0.522,"A15c, Eastern Indian",ITS2,N_A,N_A,N_A,N_A,DGGE,EU792887,http://www.ncbi.nlm.nih.gov/nuccore/EU792887,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,sp.,Millepora sp.,0.711,153786,in hospite,Indian,"Millepora sp., Indian","Millepora sp., Eastern Indian",Tanzania,Eastern Indian,29.186,N_A,N_A,"-7,012,318","39,726,367",250000,3,6,N_A,N_A,LaJeunesse_2009_Biol_Invasions_11_995,"LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.",http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse
